Date,Price,Open,High,Low,Vol.,Change %
"Aug 01, 2018",29462,29591,29670,29441,2.14K,-0.59%
"Aug 02, 2018",29520,29532,29638,29477,0.92K,0.20%
"Aug 03, 2018",29800,29520,29900,29425,0.11K,0.95%
"Aug 06, 2018",29563,29656,29656,29538,4.02K,-0.80%
"Aug 07, 2018",29534,29604,29668,29520,5.98K,-0.10%
"Aug 08, 2018",29544,29560,29630,29500,6.45K,0.03%
"Aug 09, 2018",29605,29565,29665,29529,5.58K,0.21%
"Aug 10, 2018",29706,29625,29744,29540,7.31K,0.34%
"Aug 13, 2018",29665,29750,29836,29644,7.72K,-0.14%
"Aug 14, 2018",29664,29665,29740,29575,4.99K,0.00%
"Aug 16, 2018",29275,29615,29615,29222,10.27K,-1.31%
"Aug 17, 2018",29275,29291,29375,29184,6.00K,0.00%
"Aug 20, 2018",29435,29388,29459,29350,5.66K,0.55%
"Aug 21, 2018",29542,29460,29565,29436,6.27K,0.36%
"Aug 22, 2018",29627,29450,29733,29450,4.61K,0.29%
"Aug 23, 2018",29576,29666,29666,29490,5.98K,-0.17%
"Aug 24, 2018",29882,29550,29900,29550,9.03K,1.03%
"Aug 27, 2018",29973,29930,30045,29863,6.67K,0.30%
"Aug 28, 2018",29981,30015,30170,29951,6.78K,0.03%
"Aug 29, 2018",30144,29977,30168,29977,6.08K,0.54%
"Aug 30, 2018",30131,30110,30269,30082,6.31K,-0.04%
"Aug 31, 2018",30116,30224,30298,30055,5.78K,-0.05%
"Sep 03, 2018",30327,30075,30448,30062,1.44K,0.70%
"Sep 04, 2018",30221,30238,30300,30154,0.17K,-0.35%
"Sep 05, 2018",30310,30257,30494,30250,0.05K,0.29%
"Sep 06, 2018",30565,30366,30693,30366,14.80K,0.84%
"Sep 07, 2018",30509,30643,30643,30405,9.44K,-0.18%
"Sep 10, 2018",30725,30549,30748,30526,11.42K,0.71%
"Sep 11, 2018",30732,30660,30744,30559,11.40K,0.02%
"Sep 12, 2018",30664,30682,30779,30443,15.88K,-0.22%
"Sep 13, 2018",30470,30576,30690,30450,6.63K,-0.63%
"Sep 14, 2018",30453,30501,30648,30401,11.82K,-0.06%
"Sep 17, 2018",30778,30509,30800,30509,13.77K,1.07%
"Sep 18, 2018",30811,30710,30925,30652,11.96K,0.11%
"Sep 19, 2018",30649,30821,30936,30634,13.10K,-0.53%
"Sep 20, 2018",30623,30700,30700,30585,3.97K,-0.08%
"Sep 21, 2018",30609,30731,30910,30455,15.51K,-0.05%
"Sep 24, 2018",30862,30620,30899,30620,10.49K,0.83%
"Sep 25, 2018",30838,30821,30864,30755,7.69K,-0.08%
"Sep 26, 2018",30608,30824,30830,30587,9.12K,-0.75%
"Sep 27, 2018",30356,30738,30738,30321,10.28K,-0.82%
"Sep 28, 2018",30479,30398,30520,30264,8.85K,0.41%
"Oct 01, 2018",30614,30399,30660,30376,2.22K,0.44%
"Oct 03, 2018",31025,30890,31168,30889,0.19K,1.34%
"Oct 04, 2018",31136,31072,31164,31015,0.04K,0.36%
"Oct 05, 2018",31233,31101,31288,30985,0.07K,0.31%
"Oct 08, 2018",31096,31369,31389,31083,9.96K,-0.44%
"Oct 09, 2018",31161,31200,31275,31115,7.31K,0.21%
"Oct 10, 2018",31247,31235,31265,31151,6.58K,0.28%
"Oct 11, 2018",31793,31300,31815,31250,17.38K,1.75%
"Oct 12, 2018",31670,31699,31720,31574,10.61K,-0.39%
"Oct 15, 2018",31877,31723,32075,31723,14.31K,0.65%
"Oct 16, 2018",31701,31877,31957,31680,10.71K,-0.55%
"Oct 17, 2018",31702,31670,31839,31635,8.63K,0.00%
"Oct 18, 2018",31885,31670,31909,31638,5.54K,0.58%
"Oct 19, 2018",31737,31805,31867,31703,7.59K,-0.46%
"Oct 22, 2018",31729,31738,31749,31641,6.73K,-0.03%
"Oct 23, 2018",31871,31721,32053,31721,13.47K,0.45%
"Oct 24, 2018",31723,31820,31844,31585,9.82K,-0.46%
"Oct 25, 2018",31683,31800,31912,31663,9.54K,-0.13%
"Oct 26, 2018",31764,31779,31993,31725,13.31K,0.26%
"Oct 29, 2018",31730,31847,31847,31692,6.67K,-0.11%
"Oct 30, 2018",31725,31755,31789,31651,5.96K,-0.02%
"Oct 31, 2018",31631,31650,31780,31590,5.67K,-0.30%
"Nov 01, 2018",31783,31671,31818,31619,1.58K,0.48%
"Nov 02, 2018",31737,31737,31999,31530,0.54K,-0.14%
"Nov 05, 2018",31783,31785,31898,31630,0.18K,0.14%
"Nov 06, 2018",31657,31718,31869,31641,9.16K,-0.40%
"Nov 07, 2018",31602,31660,31678,31530,1.80K,-0.17%
"Nov 08, 2018",31408,31551,31551,31234,6.11K,-0.61%
"Nov 09, 2018",31023,31302,31383,30965,10.71K,-1.23%
"Nov 12, 2018",31014,31106,31178,30975,7.77K,-0.03%
"Nov 13, 2018",30778,31110,31110,30756,8.28K,-0.76%
"Nov 14, 2018",30838,30700,30867,30620,7.55K,0.19%
"Nov 15, 2018",30831,30830,30939,30753,8.71K,-0.02%
"Nov 16, 2018",31017,30856,31158,30830,10.10K,0.60%
"Nov 19, 2018",30888,31068,31068,30785,8.15K,-0.42%
"Nov 20, 2018",30830,30811,30994,30800,8.35K,-0.19%
"Nov 21, 2018",30839,30800,30910,30750,7.74K,0.03%
"Nov 22, 2018",30613,30852,30899,30555,9.81K,-0.73%
"Nov 23, 2018",30513,30551,30566,30427,4.66K,-0.33%
"Nov 26, 2018",30574,30472,30672,30470,7.68K,0.20%
"Nov 27, 2018",30423,30585,30648,30389,7.86K,-0.49%
"Nov 28, 2018",30457,30400,30593,30270,8.40K,0.11%
"Nov 29, 2018",30253,30399,30399,30210,6.69K,-0.67%
"Nov 30, 2018",30186,30233,30320,30155,7.63K,-0.22%
"Dec 03, 2018",30787,30322,30850,30257,1.60K,1.99%
"Dec 04, 2018",30964,30874,31085,30874,0.08K,0.57%
"Dec 05, 2018",30926,30830,30970,30825,0.04K,-0.12%
"Dec 06, 2018",31005,31039,31196,30974,10.55K,0.26%
"Dec 07, 2018",31440,31011,31480,30941,11.24K,1.40%
"Dec 10, 2018",31895,31459,31966,31420,14.09K,1.45%
"Dec 11, 2018",31812,31850,31850,31618,10.53K,-0.26%
"Dec 12, 2018",31626,31749,31749,31582,7.57K,-0.58%
"Dec 13, 2018",31414,31550,31600,31337,8.43K,-0.67%
